title,description,publishedAt,source,url,bert_sentiment
Tejashwi’s poll boycott talk finds no favour with INDIA bloc allies,"Congress insiders say Oppn must not be provoked, CPI (ML-Liberation) says wait for Supreme Court hearing",2025-07-24 08:16:00+00:00,The Indian Express,https://indianexpress.com/article/india/tejashwi-poll-boycott-india-bloc-allies-10146414/,Negative
Air India Faces Regulatory Heat Over Safety Breaches,Air India is under scrutiny from India's aviation regulator for safety standard breaches related to crew fatigue management and training. The airline self-reported these issues following a fatal crash. Regulatory actions are being considered due to repeated violations despite past warnings.,2025-07-24 08:14:04+00:00,Devdiscourse,https://www.devdiscourse.com/article/business/3514933-air-india-faces-regulatory-heat-over-safety-breaches,Negative
India-UK FTA: A Gateway to Growth for Indian Youth,"The India-UK Free Trade Agreement aims to create growth, skill development, and employment opportunities for Indian youth by boosting sectors like IT, education, and textiles. It offers duty-free UK market access, financial benefits for services, and fosters a transparent business environment for young entrepreneurs.",2025-07-24 08:13:03+00:00,Devdiscourse,https://www.devdiscourse.com/article/business/3514930-india-uk-fta-a-gateway-to-growth-for-indian-youth,Positive
"Rishabh Pant suffers fractured toe, India wait on possibility of him batting again in fourth Test: Report","While India are still hoping Rishabh Pant can bat again in the fourth Test against England with the help of painkillers, Ishan Kishan will be added to the squad reportedly for the fifth Test.",2025-07-24 08:12:17+00:00,Firstpost,https://www.firstpost.com/firstcricket/rishabh-pant-fractured-toe-india-vs-england-test-ishan-kishan-13911701.html,Positive
Rishabh Pant’s injury suspected to be metatarsal fracture: What is it? How serious is it?,"Rishabh Pant had to leave the field on Wednesday after suffering a painful hit to his right foot during Team India’s first day of the fourth Test against England. Former Australia captain Ricky Ponting suggested it might be a metatarsal injury due to the visible swelling that appeared immediately. Notably, the metatarsals are the five long bones that extend from the middle of the foot to the toes",2025-07-24 08:05:21+00:00,Firstpost,https://www.firstpost.com/health/rishabh-pant-ruled-out-toe-injury-metatarsal-fracture-13911667.html,Negative
Odisha Braces for Heavy Rain Amidst Monsoon Fury,"The India Meteorological Department has forecasted heavy rainfall in 12 districts of Odisha due to a low-pressure area over the Bay of Bengal, intensified by remnants of tropical cyclone WIPHA. Orange and Yellow warnings have been issued, with residents advised to prepare as weather conditions worsen.",2025-07-24 08:05:04+00:00,Devdiscourse,https://www.devdiscourse.com/article/science-environment/3514917-odisha-braces-for-heavy-rain-amidst-monsoon-fury,Negative
"Temple, Territory, Tensions: Why Thailand, Cambodia Are Trading Blows Again, Should India Worry?","Thailand-Cambodia dispute centres on a 4.6-square-km area around Preah Vihear Hindu Temple, which holds cultural significance for both nations, symbolising their shared heritage",2025-07-24 07:49:57+00:00,News18,https://www.news18.com/explainers/temple-territory-tensions-why-thailand-cambodia-are-trading-blows-again-should-india-worry-9460486.html,Positive
Air India crash victims’ families given wrong bodies: How could this have happened?,"It’s a double trauma for the families who lost their loved ones in the Air India crash in Ahmedabad. Over a month after the tragedy, it has been discovered that two families in Britain have been handed over the wrong remains. Their lawyer has described it as ‘appalling’ and called for a serious probe. But how could such a mistake occur?",2025-07-24 07:47:00+00:00,Firstpost,https://www.firstpost.com/explainers/air-india-crash-wrong-bodies-dna-identification-13911661.html,Negative
Air India Faces Pressure Amid Safety Violations,"Air India has been warned by India's aviation regulator for breaching safety standards related to crew fatigue management and training. The self-reported issues came to light after a deadly Dreamliner crash. Multiple violations were cited, with potential regulatory actions including fines or executive dismissal.",2025-07-24 07:43:24+00:00,Devdiscourse,https://www.devdiscourse.com/article/business/3514890-air-india-faces-pressure-amid-safety-violations,Negative
"With FTA, India and UK unveil new era of strategic partnership amid global turmoil","With Prime Ministers Narendra Modi and Keir Starmer at the helm, India and UK renew their historic partnership",2025-07-24 07:41:56+00:00,Firstpost,https://www.firstpost.com/india/with-fta-india-and-uk-unveil-new-era-of-strategic-partnership-amid-global-turmoil-13911638.html,Positive
