title,description,publishedAt,source,url,gpt_sentiment
Only 52% of PM-SHRI Schools in Maharashtra have playgrounds according to Lok Sabha Answer,"According to the Lok Sabha reply, out of the 38 schools in Pune district, only 24 have a playground.",2025-07-22 16:36:54+00:00,The Indian Express,https://indianexpress.com/article/cities/pune/pm-shri-schools-maharashtra-playgrounds-lok-sabha-answer-10143056/,Unknown
Rape case against Jalgaon native Praful Lodha,The Pimpri Chinchwad police in Pune have registered a case of rape against 62-year-old Praful Lodha,2025-07-22 13:25:30+00:00,The Indian Express,https://indianexpress.com/article/cities/pune/rape-case-jalgaon-native-praful-lodha-10142691/,Unknown
Pune’s Bhide bridge to be reopened temporarily by August 20 ahead of Ganeshotsav,The Pune Metro has announced a temporary halt in construction activities during this period.,2025-07-22 12:16:14+00:00,The Indian Express,https://indianexpress.com/article/cities/pune/pune-bhide-bridge-reopened-temporarily-august-20-ganeshotsav-10142577/,Unknown
"Pune Crime Files | ‘Bayath’, DIY kits and bomb testing in Western Ghats: a look at ‘Pune ISIS module’","The National Investigation Agency has alleged that terror operatives under the ISIS module assembled and tested bombs in Pune, besides planning attacks in cities across Maharashtra and Gujarat.",2025-07-21 15:29:21+00:00,The Indian Express,https://indianexpress.com/article/cities/pune/pune-crime-files-bayath-bomb-western-ghats-isis-modules-operations-10140574/,Unknown
From son of daily wage earners to resident of Gadchiroli tribal settlement: how students of Pune’s BJMC helped them crack NEET,"Abhishek Ghule, Devdas Wachami, and Sushil Mane are among the 75 students who were coached by Lift for Upliftment (LFU) for NEET.",2025-07-21 15:27:50+00:00,The Indian Express,https://indianexpress.com/article/cities/pune/gadchiroli-tribal-settlement-students-pune-bjmc-neet-10140185/,Unknown
"7/11Mumbai train blast: Pune’s Suhail Shaikh acquitted by HC: we had lost hope, but he did not, says family","A metal fabrication worker, Rahil said his brother Suhail has been in Amravati central prison.",2025-07-21 15:19:01+00:00,The Indian Express,https://indianexpress.com/article/cities/pune/punes-suhail-shaikh-acquitted-hc-lost-hope-10140519/,Unknown
New velodrome worth Rs 35 crore to come up at Balewadi sports complex in Pune ahead of Grand Challenge Tour cycling,Sports Commissioner Sheetal Teli-Ugale proposed the development due to the poor condition of the existing velodrome which has been causing injuries to cyclists.,2025-07-21 14:05:29+00:00,The Indian Express,https://indianexpress.com/article/cities/pune/new-velodrome-balewadi-sports-complex-pune-10140292/,Unknown
"Weather Alert in Pune, Nave Mumbai, Thane, Raigad, Palghar Roads Flooded, Yellow Alert in Mumbai Latest News Update","Mumbai Rains News, Maharashtra Weather Forecast Today LIVE Update: The Santacruz observatory recorded 115 mm rain between Sunday and Monday morning till 8.30 am.",2025-07-21 10:20:42+00:00,The Indian Express,https://indianexpress.com/article/india/mumbai-rains-live-updates-imd-alert-weather-news-10139232/,Unknown
"What Bank of Baroda chief manager’s suicide says about stressors: ‘Most patients clock eight hours of screen time, carry work pressure home’",The tragic suicide of Bank of Baroda’s chief manager in Pune underscores the rising workplace stress and mental health challenges. Experts urge firms to implement stress management programs and promote work-life balance to support employee well-being and prevent burnout.,2025-07-21 08:41:00+00:00,The Indian Express,https://indianexpress.com/article/health-wellness/bank-baroda-chief-manager-suicide-stressors-10139760/,Unknown
"Pune to Host Grand Tour 2026, Promises Global Spotlight","Maharashtra's Deputy CM Ajit Pawar announced Pune will host the global Grand Tour 2026, with athletes from 40-50 countries. Preparations are ongoing for this international event focused on environmental awareness and tourism. Pawar addressed local civic issues and responded to political controversies during his recent press briefing.",2025-07-20 17:52:04+00:00,Devdiscourse,https://www.devdiscourse.com/article/headlines/3512085-pune-to-host-grand-tour-2026-promises-global-spotlight,Unknown
